solvable;conf;price;weight;time;complexity
False;1101110010110111101101;18714;1294;0.15019934100018872;11744
False;1100100011110001010000;18216;550;0.10434691699992982;8623
True;1110001101111011011110;25069;1778;0.06386194999959116;5992
False;1000111101101101111011;28721;2019;0.0481088059996182;5383
False;1101111101111111011100;26578;1928;0.011553407000064908;1217
False;1101111110111111011111;27268;2428;0.005302066000695049;479
False;0011000001100000001110;14610;436;0.03400547499950335;3644
False;1110111101110110010010;21615;1072;0.03595938600028603;2339
False;1011101111111010111110;26749;1823;0.05693447600060608;5833
False;1100100001110010001111;17445;683;0.11269563899986679;6230
False;1011111111111111111111;29721;1904;0.0024015250000957167;146
False;0111010010111110100011;21787;1321;0.5204932829992686;43285
False;1111111111011111011111;31767;1777;0.0046930759999668226;390
False;1111111111011111101101;29608;2337;0.0012848349997511832;73
False;1001111011011111101111;21241;1578;0.01761820699994132;1296
False;0011100110101001000010;14981;799;0.13737134599978162;6664
False;1110011111110111101111;25923;1883;0.017335450000246055;1634
False;1100111100010111111111;25078;1366;0.06124252300014632;2944
False;1111111111101111111111;28140;2525;0.0011405220002416172;60
False;0000000000000000000001;1936;5;6.667399975412991e-05;2
False;0011010111101111100100;22879;1058;0.29381732199999533;16606
False;0100001100010000001011;10567;307;0.005652848999488924;356
False;1111111110111111111110;28931;2389;0.0011398549995647045;109
False;1011111100101100010110;23023;1046;0.04519717800030776;2675
False;1110011111111001110101;26441;1804;0.019628305999503937;1552
False;1111101111111111111111;32125;2408;0.001013060999866866;76
False;1110111111111111111111;25301;2211;0.000874014000146417;48
False;1011111110111111111101;25892;2611;0.0034607730003699544;243
False;0000000000100000000001;1393;14;0.00013523899997380795;5
False;1111111011111100100011;22400;2060;0.012456571999791777;1313
False;1011000000010101101100;13057;993;0.40201338099996065;45579
False;1001011101111011110100;15844;1624;0.10842490200047905;10062
False;1001101000100110001110;14168;573;0.0926820550002958;9621
False;0110010111110000110010;18157;1275;0.3388469690007696;27689
False;1110110111101111011110;28982;1331;0.05228778000036982;4666
False;1111110110101111111011;22748;1929;0.017181205000269983;1358
False;1111011111111111111111;23719;2385;0.0011673740000333055;85
False;1111111110111111111111;27843;2460;0.0006965259999560658;46
False;1111111101111011001111;23422;2106;0.010721162999288936;1154
False;1111110010010111111001;20599;1739;0.01604517699979624;1172
False;1110100100110011011000;20735;834;0.14899379999951634;11719
True;0000000000000001010001;5144;234;0.0026622200002748286;211
False;0100000001000001010000;7300;291;0.0028742619997501606;198
False;1111111110010111001100;22191;1512;0.02165201200023148;2051
False;1010101001111001101111;21476;1314;0.14482651999969676;13324
False;1111010101111101101011;26974;1285;0.03773827599979995;2629
False;1111110111111111111101;28041;2545;0.002013838000493706;156
True;0100100101001000000010;8100;383;0.013247490000139805;775
False;1111010100000010001110;15847;776;0.13202891400032968;10956
False;1011001001111101001101;21850;1272;0.12921498600007908;11049
False;0000100000000000000000;909;5;9.143700026470469e-05;2
False;0000011011110101110101;18016;924;0.2533902589993886;22150
False;0011010010110110011111;22067;1553;0.521625352999763;63362
False;0101101100001101111100;18122;1182;0.34072937900054967;28543
False;1111101000110111010011;22122;1553;0.02649697400011064;1761
False;0110101110111100111111;25964;1771;0.19406490000073973;23912
False;1111101011111111111111;22796;2234;0.0013378160001593642;111
False;1011010111101100011010;20241;1094;0.1425964539994311;11922
False;0011101011011000111110;21970;1264;0.3398710019991995;31162
False;0000010001000000010000;2753;76;0.0006241250002858578;33
False;0110111110011111011101;27326;2105;0.015082359999723849;1437
False;1010001101010100101100;19488;603;0.08646055799999885;6765
False;1111111111010111111111;28392;1825;0.0015698919996793848;136
True;1111110010111011111001;24617;1766;0.02449803499985137;2305
False;1111010001011010111110;23104;1487;0.16023270700043213;17300
False;1011001101111111100111;24095;1777;0.04810038799951144;4373
False;1011010111001011011111;23209;1746;0.05771338500017009;8129
False;0100111010011001010010;14710;1346;0.23380829199959408;18297
False;0110110110001011101101;18239;1402;0.9807272440002635;122180
False;0111001010100100110101;20894;885;0.26071275699996477;23743
False;1010011111000101000011;15148;1449;0.1203889070002333;8930
False;1100000101001101011111;18279;831;0.18408272600026976;18064
False;0101111101110111111111;27969;1733;0.007167214999753924;738
False;1001000111001110110100;17084;779;0.1766118630002893;13334
False;0001000000000010100001;6161;128;0.000254259000030288;16
False;1011011101101001100111;19058;1183;0.13809736399980466;12920
False;1110111111111101111111;25850;2427;0.0009750190001796;66
False;1111110111011111111101;26607;2722;0.0022401430005629663;225
False;0000011010001011000000;10534;350;0.005652667000504152;466
False;1110100111111101100101;25700;1664;0.10273129000051995;9603
False;1100110011000011101001;19069;870;0.10119275499982905;7619
False;1111111111111110111011;20571;2244;0.000609325000368699;37
False;0100000010100010110000;11944;443;0.02504480799962039;2039
False;1111111111011111111111;33484;2644;0.0007573529992441763;54
False;1111011111111110111110;29758;2258;0.002626933000101417;181
False;1111111111011111111111;28025;2265;0.0009890440005619894;64
False;1110111111001111111011;22493;2232;0.003531459000441828;297
False;0111101111111111101011;29281;2353;0.005481547000272258;424
