solvable;conf;price;weight;time;complexity
True;0100;1129;43;1.8640996131580323e-05;3
True;0110;2966;104;2.1106003259774297e-05;9
True;0000;0;0;5.335998139344156e-06;1
True;1000;70;23;8.274000720120966e-06;2
False;0101;2758;223;1.991099998122081e-05;8
True;0100;1641;8;7.381997420452535e-06;2
False;1101;4607;304;2.778899943223223e-05;15
False;0110;4422;57;1.0800999007187784e-05;4
True;1011;3451;353;2.2243999410420656e-05;12
True;1000;744;86;1.5489000361412764e-05;2
True;1110;4774;331;2.2990003344602883e-05;10
True;1100;1538;35;1.3509998098015785e-05;4
False;1101;5798;338;2.5303001166321337e-05;12
True;1011;3972;227;1.9004000932909548e-05;9
False;1100;4117;291;2.2610001906286925e-05;10
True;1100;2698;167;1.717599661787972e-05;8
True;0000;0;0;4.859000910073519e-06;1
False;1000;2453;81;1.3264005247037858e-05;4
False;0101;3999;189;2.3011001758277416e-05;10
True;1110;4919;432;2.503999712644145e-05;13
True;1000;2098;17;8.63799505168572e-06;2
False;0001;1382;103;5.924004653934389e-06;2
False;1110;4485;147;2.7278998459223658e-05;15
False;0111;3611;224;0.00023115500516723841;10
False;1101;3102;562;2.3788998078089207e-05;12
False;0101;2551;48;1.6860001778695732e-05;6
True;1100;3076;137;1.8658996850717813e-05;8
True;0001;1649;14;5.818001227453351e-06;2
True;1001;2937;173;1.682100264588371e-05;8
False;1101;5798;482;2.2913998691365123e-05;14
False;1011;4506;231;2.5950997951440513e-05;15
False;1011;5893;305;2.6412002625875175e-05;15
False;0100;2277;47;9.053997928276658e-06;3
True;1001;2689;112;1.351899845758453e-05;6
False;1000;2356;62;1.0478994227014482e-05;3
True;1010;1209;45;1.121500099543482e-05;4
True;0000;0;0;4.401998012326658e-06;1
False;1100;3414;43;1.6951002180576324e-05;7
True;0111;4899;197;2.305200177943334e-05;12
True;1010;2310;144;1.7692000255919993e-05;8
False;1000;2024;13;8.610993972979486e-06;2
True;0101;2625;165;1.0750998626463115e-05;5
False;1100;3331;136;1.2253003660589457e-05;4
False;0111;3271;223;2.7342000976204872e-05;15
False;1110;4966;298;2.3923996195662767e-05;12
True;1100;1792;52;1.2261996744200587e-05;4
False;0011;4753;192;2.2913998691365123e-05;11
True;0110;3966;13;1.152500044554472e-05;5
True;0000;0;0;4.7869980335235596e-06;1
False;1001;2717;44;9.814000804908574e-06;4
True;0000;0;0;4.934998287353665e-06;1
True;1101;3895;212;2.1822997950948775e-05;12
True;0011;4212;110;1.3454999134410173e-05;6
True;1000;523;65;1.1083997378591448e-05;4
False;1011;4588;355;2.4348002625629306e-05;14
False;1010;2986;269;2.014499477809295e-05;9
True;0110;3438;271;1.9469000108074397e-05;10
False;0010;2090;70;6.588001269847155e-06;2
False;1001;4343;298;2.2344000171869993e-05;11
True;0011;4469;202;1.8808001186698675e-05;8
True;0000;0;0;4.811001417692751e-06;1
False;1001;2537;226;1.946599513757974e-05;9
False;1000;1235;43;1.080000220099464e-05;4
False;1110;4289;297;2.5754001399036497e-05;14
False;1101;6226;280;2.4007997126318514e-05;13
True;1100;4371;56;1.4708995877299458e-05;6
False;1001;3162;358;1.9227001757826656e-05;9
True;1011;4275;447;3.9832993934396654e-05;14
True;0000;0;0;4.871006240136921e-06;1
False;1101;5282;388;2.4578002921771258e-05;14
True;1001;2301;173;9.894996765069664e-06;4
True;1011;2861;343;2.3829001293051988e-05;12
True;1010;2542;212;1.347699435427785e-05;7
True;0000;0;0;5.135996616445482e-06;1
False;0111;2904;214;2.151599619537592e-05;10
True;0011;3721;192;1.5092002286110073e-05;6
False;1110;5098;233;2.56489947787486e-05;14
False;1101;3681;393;2.4095999833662063e-05;12
True;1011;5150;167;1.940299989655614e-05;10
True;0010;1548;23;7.891998393461108e-06;3
False;1100;3244;262;1.928600249812007e-05;9
True;1011;5633;420;2.8513000870589167e-05;15
True;0000;0;0;4.793000698555261e-06;1
False;0100;1872;33;6.467002094723284e-06;2
False;1110;6606;294;2.4296001356560737e-05;12
False;0101;2533;102;9.060997399501503e-06;4
False;0001;2283;132;1.2643999070860445e-05;4
False;1000;161;58;7.499998901039362e-06;2
False;0100;927;167;1.312600215896964e-05;5
True;1101;4527;139;2.272600249852985e-05;12
False;1101;3363;341;2.420899545541033e-05;14
False;0111;3770;338;2.3465996491722763e-05;13
False;0001;1160;31;5.752997822128236e-06;2
False;1001;1910;177;1.820099714677781e-05;9
True;1011;5212;716;2.5576999178156257e-05;15
True;1101;2751;420;2.275199949508533e-05;13
False;1100;3901;83;1.3169003068469465e-05;4
True;0010;1487;225;1.363100454909727e-05;5
False;0111;4088;35;1.3447999663185328e-05;8
True;0001;1936;5;5.499001417774707e-06;2
True;0111;5818;304;4.929800343234092e-05;14
True;0110;3402;91;1.8846993043553084e-05;7
True;0001;1289;3;5.700996553059667e-06;2
False;0101;2691;192;1.691899524303153e-05;8
False;0100;2173;184;1.3311000657267869e-05;5
False;0110;3248;220;1.9238999811932445e-05;8
False;1001;3340;237;1.4233002730179578e-05;6
True;1010;3497;192;1.930000144056976e-05;8
True;1110;5201;146;1.889999839477241e-05;8
False;0010;1867;25;6.6739958128891885e-06;2
True;0111;5518;385;2.440300158923492e-05;12
False;0010;2413;42;7.379996532108635e-06;3
False;0101;3499;216;1.7346996173728257e-05;8
True;1011;3567;413;2.4533001123927534e-05;14
False;1110;5403;207;2.442999539198354e-05;13
False;1010;3213;42;1.2427000910975039e-05;5
False;0001;2445;221;1.4534001820720732e-05;5
True;0000;0;0;5.071000487077981e-06;1
False;0101;2993;52;9.641000360716134e-06;4
False;0110;3018;131;1.22540004667826e-05;6
True;1110;4255;285;2.697300078580156e-05;15
True;1010;4162;119;1.9708000763785094e-05;8
False;1011;5875;122;2.337899786652997e-05;12
True;1000;2120;16;8.147995686158538e-06;2
True;0101;3619;201;2.3528002202510834e-05;11
True;0000;0;0;5.097994289826602e-06;1
False;1001;4413;191;1.7223996110260487e-05;7
False;0010;2364;30;6.533002306241542e-06;2
True;0101;3248;286;1.4117998944129795e-05;6
False;1011;5691;454;2.8786998882424086e-05;15
False;0110;2980;46;1.666200114414096e-05;6
False;1011;4369;459;2.3882996174506843e-05;13
True;0010;1063;121;1.5352998161688447e-05;6
True;1100;3557;146;1.9147999410051852e-05;8
False;1101;4346;403;3.10949981212616e-05;15
True;0011;1822;396;1.756699930410832e-05;8
False;1110;2302;446;2.1840998670086265e-05;12
True;0100;2006;184;1.4132994692772627e-05;5
True;0010;1055;75;6.551999831572175e-06;2
False;1101;5086;338;2.4859997211024165e-05;14
True;1110;1535;279;2.3738000891171396e-05;12
True;1110;6234;365;2.475400106050074e-05;13
True;0111;2455;289;2.7793001208920032e-05;14
True;0000;0;0;4.963003448210657e-06;1
True;0000;0;0;4.850997356697917e-06;1
True;0110;4255;240;1.9175000488758087e-05;8
False;1101;4518;221;2.215899439761415e-05;12
False;1101;3482;90;1.5857003745622933e-05;8
False;0010;2446;25;1.051800063578412e-05;3
True;1011;3000;466;2.5579000066500157e-05;13
False;1011;3714;340;2.7171998226549476e-05;15
False;1000;2483;98;1.0476003808435053e-05;3
True;1100;475;75;1.4156998076941818e-05;5
True;1100;3621;269;1.906300167320296e-05;8
False;1100;1777;140;1.36379967443645e-05;4
True;1101;4059;362;2.6660003641154617e-05;14
False;1001;3232;89;2.006199792958796e-05;8
True;1101;4047;325;2.2877000446897e-05;12
True;0100;2444;62;1.4099998224992305e-05;5
False;0110;2201;305;2.098199911415577e-05;9
True;1000;1118;1;7.985996489878744e-06;2
True;0000;0;0;5.212001269683242e-06;1
False;1101;3883;319;2.348300040466711e-05;12
False;0110;4042;239;1.7856000340543687e-05;8
True;1100;1609;67;1.3265998859424144e-05;4
False;0100;1314;34;6.850001227576286e-06;2
False;0110;3352;141;1.4780001947656274e-05;6
False;1110;4900;285;2.3019005311653018e-05;13
True;1110;6731;397;2.4679000489413738e-05;14
False;0010;2489;226;1.5597004676237702e-05;6
False;0010;2439;44;1.0020994523074478e-05;3
False;1100;3785;364;2.0788000256288797e-05;10
False;1101;4835;260;2.176900306949392e-05;12
True;0001;103;88;5.98900078330189e-06;2
True;1010;4005;137;2.1284999093040824e-05;10
False;0110;2094;113;1.3532000593841076e-05;6
True;0000;0;0;5.1059978432022035e-06;1
False;0101;3683;258;2.0257997675798833e-05;8
False;0101;3624;287;2.1278006897773594e-05;9
False;1011;4842;271;2.4019995180424303e-05;12
True;1011;3693;312;2.6428002456668764e-05;14
False;1110;3798;135;1.943300594575703e-05;8
True;0000;0;0;5.032001354265958e-06;1
False;1011;4391;362;2.7244001103099436e-05;15
True;1101;3600;461;2.6326000806875527e-05;15
True;1100;3084;130;1.4568002370651811e-05;5
False;0011;4249;244;1.7658996512182057e-05;8
False;0010;636;166;7.718997949268669e-06;3
True;0111;2577;285;4.7829002141952515e-05;15
False;1101;5838;315;2.7060996217187494e-05;15
False;0101;3129;198;2.0831997971981764e-05;11
False;0011;4846;226;1.696400431683287e-05;7
True;1101;4084;259;2.046400186372921e-05;12
False;0001;1181;12;5.563997547142208e-06;2
False;1101;3584;274;2.0747000235132873e-05;12
True;1001;1991;98;1.1285999789834023e-05;5
False;0111;6201;275;2.493100328138098e-05;13
True;0110;2525;415;2.1158004528842866e-05;10
True;0011;3098;96;1.1529999028425664e-05;5
True;1001;2965;115;1.749800139805302e-05;9
True;0000;0;0;4.806002834811807e-06;1
False;0100;2493;36;2.091599890263751e-05;2
