conf;price;weight;time;complexity;optimal
0100;1129;43;2.4617998860776424e-05;3;True
0110;2966;104;2.0929001038894057e-05;5;True
0000;0;0;7.563001418020576e-06;1;True
1000;70;23;1.2599004548974335e-05;2;True
0101;2758;223;2.2000000171829015e-05;6;True
0100;1641;8;1.067900302587077e-05;2;True
1101;4607;304;1.883700315374881e-05;5;True
0110;4422;57;1.2742995750159025e-05;3;True
1011;3451;353;1.8628998077474535e-05;6;True
1000;744;86;1.2446005712263286e-05;2;True
1110;4774;331;1.751200034050271e-05;4;True
1100;1538;35;1.857199822552502e-05;4;True
1101;5798;338;1.8236001778859645e-05;5;True
1011;3972;227;1.4579003618564457e-05;4;True
1100;4117;291;1.5839999832678586e-05;3;True
1100;2698;167;1.5826000890228897e-05;3;True
0000;0;0;7.554001058451831e-06;1;True
1000;2453;81;1.550200249766931e-05;3;True
0101;3999;189;2.196699642809108e-05;6;True
1110;4919;432;1.9134997273795307e-05;5;True
1000;2098;17;1.2233002053108066e-05;2;True
0001;1382;103;7.768998329993337e-06;2;True
1110;4485;147;1.7613994714338332e-05;4;True
0111;3611;224;1.9890001567546278e-05;6;True
1101;3102;562;1.6470003174617887e-05;4;True
0101;2551;48;1.9573999452404678e-05;5;True
1100;3076;137;1.741100277286023e-05;4;True
0001;1649;14;7.824994099792093e-06;2;True
1001;2937;173;1.8015001842286438e-05;5;True
1101;5798;482;1.6494006558787078e-05;4;True
1011;4506;231;2.0118997781537473e-05;6;True
1011;5893;305;2.0901999960187823e-05;7;True
0100;2277;47;1.0746000043582171e-05;2;True
1001;2689;112;1.749800139805302e-05;5;True
1000;2356;62;1.5648001863155514e-05;3;True
1010;1209;45;1.576400245539844e-05;4;True
0000;0;0;7.306996849365532e-06;1;True
1100;3414;43;1.7106001905631274e-05;4;True
0111;4899;197;2.3376000171992928e-05;7;True
1010;2310;144;2.09319987334311e-05;5;True
1000;2024;13;1.2215001333970577e-05;2;True
0101;2625;165;1.1123003787361085e-05;3;True
1100;3331;136;2.7103997126687318e-05;4;True
0111;3271;223;2.3759006580803543e-05;8;True
1110;4966;298;1.763500040397048e-05;4;True
1100;1792;52;1.856799644883722e-05;4;True
0011;4753;192;2.673300332389772e-05;10;True
0110;3966;13;1.2585995136760175e-05;3;True
0000;0;0;7.375005225185305e-06;1;True
1001;2717;44;1.2655997124966234e-05;3;True
0000;0;0;7.358998118434101e-06;1;True
1101;3895;212;1.646899909246713e-05;4;True
0011;4212;110;1.6975005564745516e-05;5;True
1000;523;65;1.5731995517853647e-05;3;True
1011;4588;355;1.906300167320296e-05;6;True
1010;2986;269;2.4382999981753528e-05;7;True
0110;3438;271;2.0332998246885836e-05;6;True
0010;2090;70;9.19900048756972e-06;2;True
1001;4343;298;2.4788998416624963e-05;8;True
0011;4469;202;2.18010027310811e-05;7;True
0000;0;0;7.385999197140336e-06;1;True
1001;2537;226;1.6590995073784143e-05;4;True
1000;1235;43;1.4117002137936652e-05;3;True
1110;4289;297;1.9330000213813037e-05;5;True
1101;6226;280;1.8315993656869978e-05;5;True
1100;4371;56;1.5437995898537338e-05;3;True
1001;3162;358;1.9947998225688934e-05;6;True
1011;4275;447;1.866200182121247e-05;6;True
0000;0;0;7.3079936555586755e-06;1;True
1101;5282;388;1.62699943757616e-05;4;True
1001;2301;173;1.2955002603121102e-05;3;True
1011;2861;343;2.2309999621938914e-05;7;True
1010;2542;212;1.436699676560238e-05;3;True
0000;0;0;7.431997801177204e-06;1;True
0111;2904;214;1.996500213863328e-05;6;True
0011;3721;192;1.820499892346561e-05;5;True
1110;5098;233;1.7510996258351952e-05;4;True
1101;3681;393;2.3333996068686247e-05;7;True
1011;5150;167;1.4951998309697956e-05;4;True
0010;1548;23;9.095005225390196e-06;2;True
1100;3244;262;1.5994002751540393e-05;3;True
1011;5633;420;2.0473999029491097e-05;7;True
0000;0;0;7.317998097278178e-06;1;True
0100;1872;33;1.040300412569195e-05;2;True
1110;6606;294;1.767100184224546e-05;4;True
0101;2533;102;1.1105003068223596e-05;3;True
0001;2283;132;1.643099676584825e-05;4;True
1000;161;58;1.2055999832227826e-05;2;True
0100;927;167;1.579099625814706e-05;3;True
1101;4527;139;1.8008999177254736e-05;5;True
1101;3363;341;1.629599864827469e-05;4;True
0111;3770;338;2.3906999558676034e-05;8;True
0001;1160;31;7.877002644818276e-06;2;True
1001;1910;177;1.911300205392763e-05;4;True
1011;5212;716;2.0046994904987514e-05;6;True
1101;2751;420;2.0936997316312045e-05;6;True
1100;3901;83;1.852100103860721e-05;4;True
0010;1487;225;1.792499824659899e-05;4;True
0111;4088;35;1.3028002285864204e-05;4;True
0001;1936;5;7.766000635456294e-06;2;True
0111;5818;304;2.45749979512766e-05;9;True
