conf;price;weight;time;complexity
0000000000000000000100;23619;61;2.252699778182432e-05;3
0000000000000000001000;2620;34;3.680100053315982e-05;7
0000000000100000000000;1090;6;2.6036002964247018e-05;3
0000000010000000000000;2995;90;0.0001501869992353022;29
0000100000000000000000;11800;50;3.787199966609478e-05;13
0000001000000000000000;6849;173;0.0006311580000328831;231
0000001010011000000000;6409;253;0.001985463997698389;540
1111000000000000001000;5102;204;0.0021600079999188893;625
0010000100000001000101;6749;294;0.0024925289981183596;1171
0100000000000000000000;3538;65;4.164100391790271e-05;7
0000000000000000001000;6643;129;0.00013606500579044223;39
0000000000000000001000;155900;100;7.183800335042179e-05;11
0000000000000100000000;5062;119;0.00016564899851800874;28
1100000101001010000001;9049;446;0.019014343997696415;10544
0110000000010100000000;4687;317;0.000919231002626475;207
0100000000000000000000;2315;55;3.6090998037252575e-05;5
0000000000000000100000;3198;88;8.686799992574379e-05;14
0000000000000100000000;2674;54;3.4473996493034065e-05;7
0000000000000010000000;3356;135;0.00018683199596125633;27
0000000000000000000010;4828;28;3.1759002013131976e-05;5
0100000000000000010011;4049;60;8.029600576264784e-05;31
0000000000000001000000;4284;86;2.360600046813488e-05;3
0000000010000000000000;3270;81;4.544300463749096e-05;6
0001000101000100000101;5633;166;0.0007529599970439449;420
0000000000000000000001;5642;88;0.0001877169997896999;39
0100000000000000000000;10113;279;0.0021708389976993203;856
0000000010000000000000;10024;7;2.8985996323172003e-05;5
0100000010000000001000;4358;91;7.608399755554274e-05;14
0000000000000100000000;1726;19;1.938499917741865e-05;3
0000001000000000000000;2511;59;3.782300336752087e-05;5
0000000000010000000000;6516;238;0.0006376609962899238;165
1010000010011000100000;12610;773;0.045029574997897726;19926
0001000000000000000000;3976;40;0.0001144479974755086;23
0000000000000000000001;4433;44;4.04050006181933e-05;8
1000000100000000000000;3566;111;0.00011625000479398295;17
0000001000000000000000;8725;91;8.585400064475834e-05;21
0000001011100100000001;9210;282;0.0022761079962947406;761
0000010000000000000000;2958;89;7.428299431921914e-05;19
0000000010000000000000;3558;202;0.00015322100080084056;32
0000000000000010000000;4240;33;2.6374000299256295e-05;4
0000000000000000000001;2953;152;8.823400276014581e-05;17
0100000010000000000001;3474;77;4.509399877861142e-05;9
0000000000100000000000;1937;75;4.200699913781136e-05;10
0000000000001000000000;8958;25;2.605299960123375e-05;3
0000000000000010000000;67536;42;1.9609004084486514e-05;5
0000000000000000000001;4377;78;0.00011325800005579367;29
0000000000000100000000;3599;122;0.00011755699961213395;37
0000010000000000000000;12294;72;5.742999928770587e-05;13
0000000000000000000100;7077;90;0.00010834899876499549;28
0000000000000100000000;1409;8;1.7950995243154466e-05;3
0000100001011000000000;6724;204;0.0003799660044023767;90
0011100000101001000000;8584;223;0.0017141460048151202;460
0000000000000000001000;3964;80;4.292000085115433e-05;9
0000000000000000010000;3259;11;2.5897003069985658e-05;4
0001000000000000000000;3960;66;2.920299448305741e-05;4
1000010000001000100000;7306;186;0.00036873199860565364;85
0111000000000000000010;6044;89;0.00011477500083856285;24
0000000000000001000000;4634;82;7.50580002204515e-05;24
0000001000000000000000;4113;63;5.356700421543792e-05;7
0000000100000000000000;4306;58;5.6569995649624616e-05;9
0100101001000010000000;6869;186;0.0007748999996692874;208
0000000000000010000000;4591;24;2.674900315469131e-05;4
0000000000000000000100;4154;71;0.00010750200453912839;25
0001000000000000000000;4045;129;0.00023296400468098;55
0000000000001000000000;8544;16;3.166199894621968e-05;4
0000000000000001000000;6066;221;0.0004075539982295595;65
0000000000010000000000;3852;78;8.122800500132143e-05;14
0000000000000000000010;6140;311;0.0013411000036285259;421
1001101000000010000100;11084;544;0.012856902998464648;5343
0000000001000000000000;2093;54;2.248000237159431e-05;3
0100010000100001010000;7157;534;0.016893928004719783;5592
0000001000000000000000;7530;153;0.00029496500064851716;88
0000000000000000000010;1622;33;2.1703002857975662e-05;4
0000000000000100000000;8232;168;0.0005229519956628792;128
0010000000000000000000;3518;73;5.775400495622307e-05;9
0000000000000001000000;8857;69;0.0002217799992649816;49
0000000000000001000000;6768;47;4.0516999433748424e-05;6
0100000000000000000000;4399;37;3.6142999306321144e-05;5
0000000000000001000000;5948;23;3.530899994075298e-05;7
