conf;price;weight;time;complexity;optimal
0100000000;2743;0;0.11325431199657032;152053;True
0000100000;3266;0;0.13717601200187346;183183;True
1000000000;4851;0;0.11844070900406223;154302;True
0000001000;5890;0;0.1627650980008184;213665;True
0010000000;3759;0;0.15455567299795803;190048;True
0000100000;3844;0;0.11167011000361526;143257;True
0011000101;4997;0;0.12583556600293377;162734;True
0100000000;6504;0;0.17019948400411522;218132;True
0000000001;6561;0;0.16148839100060286;207723;True
0010000000;3773;0;0.09128082700044615;117290;True
0001000000;2250;0;0.11608880000130739;153540;True
0000001000;4877;0;0.15295396899455227;194026;True
0000100000;30316;0;0.3827283630016609;485833;True
0001000000;8596;0;0.16004298500047298;191930;True
0000000001;4349;0;0.11470453299989458;139747;True
0000100000;7161;0;0.1492913120018784;180020;True
0000100000;2877;0;0.14461920900066616;184424;True
0000010000;5065;0;0.132435573003022;171783;True
0001000000;9086;0;0.18353402300272137;231832;True
0010000000;4691;0;0.13360220200411277;174188;True
0000000010;2802;0;0.10025449199747527;129871;True
1100010001;6203;0;0.15165387599699898;193702;True
1000000000;4957;0;0.13231102599820588;168452;True
0000000001;8052;0;0.14480294100212632;187296;True
1001010111;8807;0;0.17129057100100908;228346;True
1010011011;8183;0;0.17069896999601042;219886;True
0000000010;5256;0;0.11721847499575233;154585;True
0000001000;5333;0;0.14734516300086398;193846;True
0000000010;3316;0;0.13976470199850155;169905;True
0010000000;2997;0;0.11065808899729745;146494;True
1100111100;7348;0;0.14211319999594707;186125;True
1000000000;4500;0;0.0939131039995118;122613;True
0000001000;3408;0;0.11451755700545618;151779;True
0100000000;4694;0;0.13135570899612503;174150;True
0000000100;11415;0;0.20019207400036976;248195;True
0010000000;34848;0;0.4345614329940872;549199;True
1000000000;3436;0;0.11496372499823337;153365;True
0000000010;4326;0;0.13404172200534958;178327;True
0000010000;4528;0;0.10772074000124121;138972;True
0011010010;7528;0;0.16533967699797358;216663;True
0000000010;3702;0;0.1118463070015423;143719;True
0000001000;7389;0;0.16167011499783257;202122;True
0100000000;5812;0;0.11588110600132495;150316;True
1000000000;2560;0;0.1295836710050935;169001;True
0111000110;6378;0;0.1432850450000842;185498;True
0000001000;21241;0;0.27750398899661377;345938;True
0100000000;8145;0;0.16021013800491346;186563;True
0000001000;6133;0;0.19893560399941634;240302;True
0000000010;8878;0;0.20869511400087504;272583;True
0000010000;6738;0;0.1857394190010382;237322;True
0001000000;9098;0;0.17166029500367586;220576;True
0000001000;7983;0;0.16083972900378285;207588;True
0100000000;7399;0;0.1655235919970437;212797;True
0000001000;3932;0;0.14463715899910312;190039;True
0001000000;3105;0;0.09266571399348322;120285;True
0000000001;3600;0;0.1298355309991166;175236;True
0100000000;3343;0;0.13521958499768516;180445;True
0000100000;3652;0;0.12650678899808554;165637;True
0000000010;5536;0;0.15696320399729302;207321;True
1000000000;4920;0;0.16263623999839183;208917;True
0000000100;6391;0;0.11357367299933685;144427;True
0000010000;3193;0;0.09111986200150568;114915;True
0000010000;4098;0;0.09194635500170989;121162;True
0100110001;6533;0;0.11766518900549272;153855;True
1001110010;6157;0;0.15438853399973596;204788;True
0100000000;6401;0;0.16898452400346287;221151;True
0111000001;5566;0;0.16176439399714582;215998;True
0000100000;75019;0;0.7601506999999401;954610;True
0000000001;5386;0;0.13007700700109126;172106;True
0100000000;6079;0;0.13889111099706497;180181;True
0000000010;2979;0;0.12318676500581205;154498;True
0100000000;7913;0;0.16043003000231693;201795;True
0000100000;1684;0;0.14580463700258406;192997;True
0000000100;6540;0;0.12629591499717208;167354;True
1100100011;6105;0;0.13844570399669465;183636;True
0000000001;6696;0;0.1849810530038667;236196;True
0010000000;4229;0;0.17643485499866074;200750;True
0001000000;5556;0;0.15137611399404705;187950;True
1000011110;9314;0;0.17860055300116073;224683;True
0000000001;4865;0;0.13148496900248574;170815;True
0000100000;6501;0;0.1443820259955828;184700;True
1100110011;7100;0;0.15977495799597818;205897;True
0000100000;3786;0;0.15744590500253253;203387;True
0010000000;3245;0;0.07132452500081854;88526;True
0000010000;2402;0;0.14282708399696276;186086;True
0000001000;1913;0;0.09841194500040729;131686;True
0000100000;5951;0;0.14322674299910432;188418;True
0000001000;7434;0;0.1583319580022362;208821;True
0000001000;4770;0;0.11785816700285068;153573;True
0000000010;5232;0;0.12824625299981562;170413;True
0101011100;7824;0;0.15933295199647546;213020;True
1100001011;7849;0;0.18024326200247742;231104;True
1000000000;7227;0;0.15377306500158738;200922;True
0000001000;6482;0;0.14335076000133995;188569;True
0000010000;1484;0;0.1121955370035721;147308;True
0000000010;10195;0;0.17844085099932272;230358;True
0001000000;4002;0;0.13466479199996684;179472;True
0100000000;3017;0;0.08286582300206646;109047;True
0000000001;6747;0;0.1306231749986182;163485;True
0000000100;1213;0;0.11066938200383447;141205;True
0001000000;6229;0;0.13741432700044243;177053;True
0010000000;2014;0;0.10960288099886384;147033;True
1000000000;2330;0;0.09048645599978045;122035;True
0000100000;4378;0;0.12406146300054388;163207;True
0111000010;5998;0;0.12422107300517382;167122;True
0001000000;4085;0;0.11460927299776813;149305;True
0110101000;4153;0;0.10926072800066322;138691;True
0000001000;4568;0;0.14484156199614517;184135;True
0000010000;6969;0;0.1765639010045561;228271;True
0100000000;11600;0;0.16256270799931372;203340;True
1111101110;11455;0;0.22652771399589255;256022;True
0001000000;11897;0;0.26533292300155153;295153;True
0000001000;8476;0;0.18479444999684347;224387;True
0000010000;4670;0;0.1571596759968088;196670;True
1011101110;9832;0;0.17643594699620735;229013;True
0000000100;4721;0;0.11200915199879091;145593;True
0000010000;3628;0;0.091709082997113;120744;True
0010000000;4583;0;0.1773076109966496;235676;True
0000110110;6268;0;0.14006350899580866;175165;True
1000000000;2067;0;0.09474440499616321;118446;True
1000000000;25862;0;0.30591073899995536;395707;True
0000000110;4734;0;0.13144034300057683;176252;True
0000010000;3791;0;0.09978032999788411;134033;True
0100000000;8013;0;0.15051066099840682;198899;True
0000000100;8305;0;0.18303875599667663;228205;True
0000000001;5949;0;0.11941411600128049;153735;True
0001000000;3424;0;0.12146114600182045;159386;True
0100000000;5063;0;0.118712155999674;160821;True
1000000000;4895;0;0.13000610500603216;172426;True
0000001000;6729;0;0.14280221200169763;188574;True
1000000000;5481;0;0.18056181199790444;242940;True
0000010000;6637;0;0.14309815099841217;184431;True
1000000000;5248;0;0.1357009109997307;168185;True
0010000000;4814;0;0.11822252199635841;153497;True
0010000000;1770;0;0.09533579999697395;127297;True
0000000001;8117;0;0.21517756800312782;276331;True
1000000000;5485;0;0.16070983299869113;209792;True
0000000010;6169;0;0.13572021100117126;175320;True
0000001000;5655;0;0.16222242700314382;213456;True
0100101011;7331;0;0.1528151929960586;193773;True
0110101010;8608;0;0.19719701800204348;250240;True
0010000000;1843;0;0.0921520639967639;123924;True
0110100110;7846;0;0.14116448699496686;187606;True
0000000010;10288;0;0.15017854699544841;193689;True
1100000101;6365;0;0.15381459500349592;190240;True
0000000100;2560;0;0.11308017499686684;136606;True
0000000100;2738;0;0.0998278789993492;121824;True
0000100000;4412;0;0.13177743700362043;163881;True
0100000000;6214;0;0.1512337980020675;196042;True
0001000000;2528;0;0.09816596400196431;129934;True
0000000100;7287;0;0.12606267999944976;164999;True
0000010000;1522;0;0.10049845599860419;135894;True
0000001000;1780;0;0.09826158500072779;133691;True
0000100000;13473;0;0.2520730199976242;315692;True
0000100000;2903;0;0.15099221000127727;194142;True
1000000000;1136;0;0.0918216139980359;121837;True
0001000000;2976;0;0.12438295999891125;166242;True
0000000010;4512;0;0.1289922470023157;171421;True
0000000010;4686;0;0.15923835900321137;213427;True
0000000100;6743;0;0.1502743220044067;200175;True
1000100111;9129;0;0.1797100660041906;211200;True
0000001000;6404;0;0.14067559900286142;183247;True
1000000000;4682;0;0.13744916699943133;183883;True
0010010010;3855;0;0.10387633700156584;138832;True
0001000000;4878;0;0.15095955799915828;199932;True
0000001000;5984;0;0.12489089999871794;158947;True
0000100000;5255;0;0.13050971200573258;168114;True
0100000000;6041;0;0.11550200599594973;150543;True
0000001000;12647;0;0.22581711700331653;288676;True
0100000000;2702;0;0.11437021700112382;151878;True
0000010000;1367;0;0.09585972600325476;128585;True
0100000000;6610;0;0.17583008800284006;237226;True
0000000100;5352;0;0.1617289019995951;215570;True
1100000111;4801;0;0.1363426289972267;171644;True
1010010010;5726;0;0.13619091100554215;171031;True
0001000000;7576;0;0.16796746099862503;212702;True
0000010000;1078;0;0.0914359379967209;118614;True
0011011111;13623;0;0.2672760549976374;338176;True
0000010000;7339;0;0.1674141760013299;218325;True
0011000110;6706;0;0.16619684099714505;199329;True
0000000010;5004;0;0.1838728180009639;211945;True
0100000000;6914;0;0.15238469400355825;195462;True
0000010000;4166;0;0.10544558800029336;138818;True
0000100000;2311;0;0.12022651800361928;155746;True
0010000000;3945;0;0.13864168299915036;183310;True
0001000000;4147;0;0.12688967100257287;169259;True
0000000010;1411;0;0.09321366399672115;126438;True
0000000100;7976;0;0.15674919100274565;207858;True
0001000000;1702;0;0.12111446800554404;155864;True
0100000000;4964;0;0.1354067770007532;172080;True
0000000010;7489;0;0.19263839199993527;246612;True
0010000000;3247;0;0.09305463200144004;124140;True
0000000010;3836;0;0.12978286100405967;171425;True
0000011101;4992;0;0.12058955499378499;154948;True
0000000010;6350;0;0.12510294700041413;159671;True
0000000001;6962;0;0.20801976999791805;268918;True
0000100000;4780;0;0.18506822299968917;236689;True
0111011011;7029;0;0.13994945000013104;186011;True
0000100000;4687;0;0.11701755000103731;156586;True
0000001000;4382;0;0.13825844100210816;181741;True
0000100000;2097;0;0.10154095599864377;135920;True
0000010000;10270;0;0.23497089900047285;298722;True
0000000001;3302;0;0.13699513099709293;173974;True
0010000000;2829;0;0.1504970290043275;195334;True
0100000000;3311;0;0.09738932600157568;127125;True
0000010000;7761;0;0.16700018400297267;216955;True
0000000001;2165;0;0.10386933799600229;138643;True
0000000100;5063;0;0.12228574100299738;161679;True
0000010000;5663;0;0.13078454000060447;172241;True
0000001000;3449;0;0.11340791700058617;146122;True
1000000000;4923;0;0.13813499199750368;176802;True
0000000100;4820;0;0.11443402800068725;148362;True
0000010000;3405;0;0.1073951010039309;142807;True
0100110001;5653;0;0.14674314399599098;194131;True
1000000000;243425;0;2.2935960999966483;2791744;True
0000010000;4035;0;0.11111787999834633;146257;True
0000010000;2822;0;0.11911751300067408;152786;True
0000000010;6171;0;0.163844632996188;213070;True
1111000110;8043;0;0.15486277799936943;202626;True
0000001000;5707;0;0.16125845799979288;215144;True
0000000001;3070;0;0.12119815000187373;163670;True
0000010000;4490;0;0.125287484996079;167414;True
1100001100;7990;0;0.20184959399921354;247403;True
0100000000;3352;0;0.10252795000269543;130360;True
0010000000;2256;0;0.1171184870036086;153691;True
0000000001;2240;0;0.08032988599734381;108364;True
0001000000;5624;0;0.15072635099932086;200602;True
1000000000;2605;0;0.1134232870026608;151892;True
0000000010;5623;0;0.12373504499555565;163722;True
0001000000;1412;0;0.10362740699929418;136594;True
0000010000;6385;0;0.14581346699560527;190047;True
1000000000;4089;0;0.1861162470013369;233724;True
0000000100;6847;0;0.17890471500140848;231487;True
0101100100;7452;0;0.1684470229956787;221108;True
0010000000;5840;0;0.13954413600004045;183719;True
1000000000;5559;0;0.152396243000112;202962;True
0100000000;10439;0;0.22402100500039523;257397;True
0000000100;2226;0;0.09946945399860851;125288;True
0000010000;3511;0;0.13831460799701745;178521;True
0000000010;3659;0;0.11205950600560755;146246;True
0000000100;4219;0;0.09399205299996538;123187;True
0000000100;7416;0;0.1408884449992911;188714;True
0000000001;5791;0;0.1828744479935267;240293;True
1010001100;7546;0;0.16557771999941906;216959;True
1001001110;6076;0;0.12774276699929032;159137;True
0001000000;5003;0;0.16765987600228982;218635;True
0000001000;10029;0;0.17775674600125058;235038;True
0010000000;3710;0;0.1276059299998451;168425;True
0000000010;4776;0;0.13967628899990814;186793;True
0000000010;4180;0;0.164630234001379;214845;True
0000001000;3407;0;0.11731737000081921;149368;True
0010001101;4796;0;0.12835197099775542;164327;True
0000100000;3986;0;0.14702553000097396;191187;True
0000100000;3276;0;0.12315713099815184;161837;True
1111000000;5105;0;0.1448779470010777;192148;True
0100000000;3267;0;0.14617947000078857;195221;True
0001000000;9254;0;0.15852579299826175;208480;True
0110010101;7657;0;0.15174623300117673;192151;True
1000010100;5155;0;0.15419359500083374;197222;True
0001000000;3926;0;0.1360561659967061;181096;True
0000001000;5896;0;0.15448539600038202;200699;True
0000000100;4336;0;0.1560636579961283;206026;True
0000000010;1319;0;0.10666203599976143;141830;True
0100000000;4690;0;0.12384385999757797;158206;True
1000000000;6355;0;0.13420879899786087;168734;True
0000100000;8213;0;0.15167184899473796;188124;True
0010000000;3886;0;0.126600690993655;163809;True
1111110000;6310;0;0.1296358190011233;173651;True
0001000000;2345;0;0.11666726600378752;157309;True
0000000100;6538;0;0.15970040200045332;209464;True
0000010000;813;0;0.12930101099482272;171523;True
0000000001;3796;0;0.12699437399714952;152216;True
1010110110;8693;0;0.17909865399997216;210292;True
0100000000;5901;0;0.13890207700023893;168503;True
0000001000;3260;0;0.11155427899939241;142459;True
0010000000;4671;0;0.12022469600196928;156784;True
0000010000;1525;0;0.0879640329949325;116139;True
0000010000;5768;0;0.12647690599987982;164900;True
0100000000;4661;0;0.13195257799816318;175959;True
0000000100;4711;0;0.147631249994447;172999;True
1011110100;8173;0;0.18141675800143275;209012;True
0101001010;6335;0;0.15928917199926218;193857;True
0000010000;2545;0;0.12533062700094888;150087;True
0100000000;5672;0;0.1601456960052019;196032;True
0001000000;5746;0;0.15356389699445572;190436;True
0000001000;15275;0;0.29025601900502807;318892;True
0010000000;2418;0;0.11452801699488191;136309;True
0010000000;2220;0;0.11590893800166668;147643;True
0010000000;4774;0;0.16386819900071714;211329;True
0001000000;10220;0;0.17032507600379176;217198;True
1011110100;7718;0;0.16565279199858196;214555;True
0010000000;4164;0;0.11889256499853218;153307;True
