conf;price;weight;time;complexity;valid
0000000000;1214;0;6.758000381523743e-06;2;False
0000000000;2768;0;3.855999239021912e-06;3;False
0000000000;2483;0;3.0030023481231183e-06;2;False
0000000000;4073;0;2.888002200052142e-06;3;False
0000000000;2245;0;2.89699892164208e-06;2;False
0000000000;3186;0;2.9050024750176817e-06;3;False
0000000000;3786;0;3.1800009310245514e-06;4;False
0000000000;3829;0;2.8559989004861563e-06;3;False
0000000000;2485;0;2.9049988370388746e-06;3;False
0000000000;2170;0;2.5790031941141933e-06;2;False
0000000000;924;0;2.688000677153468e-06;2;False
0000000000;4670;0;3.0480005079880357e-06;4;False
0000000000;2332;0;2.5509980332572013e-06;2;False
0000000000;3183;0;2.8280010155867785e-06;3;False
0000000000;4015;0;2.7579990273807198e-06;3;False
0000000000;3575;0;2.8190006560180336e-06;3;False
0000000000;2686;0;2.8609974833671004e-06;3;False
0000000000;4112;0;2.992997906403616e-06;4;False
0000000000;9086;0;2.7459973352961242e-06;2;True
0000000000;3164;0;2.7520000003278255e-06;3;False
0000000000;1615;0;2.5469998945482075e-06;2;False
0000000000;5454;0;3.0849987524561584e-06;4;False
0000000000;2228;0;2.611999661894515e-06;2;False
0000000000;2078;0;2.5619992811698467e-06;2;False
0000000000;7330;0;3.3710020943544805e-06;5;False
0000000000;6620;0;3.2659991120453924e-06;5;False
0000000000;2190;0;2.664000930963084e-06;2;False
0000000000;3954;0;2.839999069692567e-06;3;False
0000000000;2258;0;2.5459994503762573e-06;2;False
0000000000;2367;0;2.564000169513747e-06;2;False
0000000000;6119;0;3.7760000850539654e-06;7;False
0000000000;4188;0;3.062999894609675e-06;4;False
0000000000;2174;0;2.802000381052494e-06;3;False
0000000000;2301;0;2.60099841398187e-06;2;False
0000000000;11415;0;2.6189991331193596e-06;2;True
0000000000;34848;0;2.6380002964287996e-06;2;True
0000000000;1859;0;2.5280023692175746e-06;2;False
0000000000;3025;0;2.7339992811903358e-06;3;False
0000000000;2737;0;2.821001544361934e-06;3;False
0000000000;6281;0;3.05399953504093e-06;4;False
0000000000;1960;0;2.58199725067243e-06;2;False
0000000000;4511;0;2.862998371711001e-06;3;False
0000000000;775;0;2.5709996407385916e-06;2;False
0000000000;2319;0;2.648997906362638e-06;2;False
0000000000;5090;0;3.1150011636782438e-06;4;False
0000000000;867;0;2.5270019250456244e-06;2;False
0000000000;4392;0;2.7759997465182096e-06;3;False
0000000000;4546;0;2.8430004022084177e-06;3;False
0000000000;6127;0;3.0379997042473406e-06;4;False
0000000000;5231;0;2.9990005714353174e-06;4;False
0000000000;6133;0;3.354001819388941e-06;5;False
0000000000;2537;0;2.849999873433262e-06;3;False
0000000000;6571;0;3.221000952180475e-06;5;False
0000000000;3908;0;2.7599999157246202e-06;3;False
0000000000;3105;0;2.573000529082492e-06;2;True
0000000000;2827;0;2.8579997888300568e-06;3;False
0000000000;2294;0;2.5950030249077827e-06;2;False
0000000000;3174;0;2.736000169534236e-06;3;False
0000000000;5398;0;3.007997293025255e-06;4;False
0000000000;2504;0;2.854001650121063e-06;3;False
0000000000;3747;0;2.7950009098276496e-06;3;False
0000000000;2395;0;2.553002559579909e-06;2;False
0000000000;2967;0;2.9570001061074436e-06;3;False
0000000000;5477;0;3.215998731320724e-06;4;False
0000000000;5574;0;3.102999471593648e-06;4;False
0000000000;5619;0;5.182999302633107e-06;4;False
0000000000;5534;0;4.980000085197389e-06;4;False
0000000000;75019;0;4.665998858399689e-06;2;True
0000000000;4723;0;4.560999514069408e-06;4;False
0000000000;6028;0;5.409998266259208e-06;5;False
0000000000;2317;0;2.9040020308457315e-06;2;False
0000000000;4793;0;3.1469971872866154e-06;4;False
0000000000;1684;0;2.77700019069016e-06;2;True
0000000000;6192;0;4.187000740785152e-06;7;False
0000000000;5308;0;3.4000004234258085e-06;4;False
0000000000;6528;0;3.291999746579677e-06;4;False
0000000000;2766;0;2.9650000215042382e-06;3;False
0000000000;3780;0;2.920998667832464e-06;3;False
0000000000;8094;0;5.327998223947361e-06;5;False
0000000000;4142;0;5.070000042906031e-06;3;False
0000000000;5832;0;2.176400084863417e-05;6;False
0000000000;5790;0;3.6679994082078338e-06;6;False
0000000000;2907;0;2.9950024327263236e-06;3;False
0000000000;1498;0;2.6930028980132192e-06;2;False
0000000000;2329;0;2.5650006136856973e-06;2;False
0000000000;679;0;2.0333001884864643e-05;2;False
0000000000;2179;0;2.773002051981166e-06;3;False
0000000000;5976;0;1.5789999451953918e-05;4;False
0000000000;2960;0;2.944001607829705e-06;3;False
0000000000;2979;0;1.5736000932520255e-05;3;False
0000000000;7454;0;3.364999429322779e-06;5;False
0000000000;6761;0;3.4180011425632983e-06;5;False
0000000000;5546;0;3.1759991543367505e-06;4;False
0000000000;5900;0;3.086999640800059e-06;4;False
0000000000;1484;0;2.7130008675158024e-06;2;True
0000000000;2039;0;2.65800190391019e-06;2;False
0000000000;3687;0;2.8570029826369137e-06;3;False
0000000000;2437;0;1.7035999917425215e-05;3;False
0000000000;2874;0;1.5607998648192734e-05;3;False
0000000000;787;0;2.7220012270845473e-06;2;False
0000000000;4793;0;3.372999344719574e-06;5;False
0000000000;1511;0;2.625001798151061e-06;2;False
0000000000;969;0;2.749002305790782e-06;2;False
0000000000;4097;0;2.7850001060869545e-06;3;False
0000000000;4967;0;3.1330018828157336e-06;4;False
0000000000;2714;0;2.906999725382775e-06;3;False
0000000000;3664;0;2.849999873433262e-06;3;False
0000000000;2460;0;2.643999323481694e-06;2;False
0000000000;5540;0;3.1960007618181407e-06;4;False
0000000000;400;0;2.6570014597382396e-06;2;False
0000000000;10387;0;3.7579993659164757e-06;7;False
0000000000;5722;0;3.0089977371972054e-06;4;False
0000000000;6045;0;2.9849979910068214e-06;4;False
0000000000;2849;0;2.77700019069016e-06;3;False
0000000000;9597;0;3.7619975046254694e-06;7;False
0000000000;4428;0;2.9700022423639894e-06;4;False
0000000000;1209;0;2.7459973352961242e-06;3;False
0000000000;3015;0;2.8139984351582825e-06;3;False
0000000000;5304;0;3.3090000215452164e-06;5;False
0000000000;1684;0;2.5750014174263924e-06;2;False
0000000000;2069;0;2.5270019250456244e-06;2;False
0000000000;4191;0;3.0459996196441352e-06;4;False
0000000000;482;0;2.610002411529422e-06;2;False
0000000000;7270;0;3.5320008464623243e-06;6;False
0000000000;2236;0;2.516000677132979e-06;2;False
0000000000;5152;0;3.012002707691863e-06;4;False
0000000000;3202;0;2.872002369258553e-06;3;False
0000000000;4482;0;3.087996446993202e-06;4;False
0000000000;2348;0;2.616998244775459e-06;2;False
0000000000;3345;0;2.77700019069016e-06;3;False
0000000000;2094;0;2.529999619582668e-06;2;False
0000000000;6622;0;3.291999746579677e-06;5;False
0000000000;2605;0;2.8180002118460834e-06;3;False
0000000000;2497;0;2.802000381052494e-06;3;False
0000000000;1123;0;2.4789987946860492e-06;2;False
0000000000;7497;0;4.737001290777698e-06;5;False
0000000000;4007;0;2.9180009732954204e-06;3;False
0000000000;5723;0;3.468001523287967e-06;5;False
0000000000;5043;0;3.125001967418939e-06;4;False
0000000000;6466;0;3.101999027421698e-06;4;False
0000000000;6704;0;3.407996700843796e-06;5;False
0000000000;1723;0;2.6839989004656672e-06;2;False
0000000000;6215;0;3.402998117962852e-06;5;False
0000000000;1833;0;2.5279987312387675e-06;2;False
0000000000;5752;0;3.082001057919115e-06;4;False
0000000000;1138;0;2.62100002146326e-06;2;False
0000000000;2155;0;2.505999873392284e-06;2;False
0000000000;3018;0;2.749999111983925e-06;3;False
0000000000;2337;0;2.6240013539791107e-06;2;False
0000000000;2116;0;2.615000994410366e-06;2;False
0000000000;3975;0;3.279001248301938e-06;5;False
0000000000;1402;0;2.5650006136856973e-06;2;False
0000000000;1484;0;2.62100002146326e-06;2;False
0000000000;13473;0;2.667999069672078e-06;2;True
0000000000;2766;0;2.8459980967454612e-06;3;False
0000000000;909;0;2.806998963933438e-06;2;False
0000000000;1132;0;2.5889967218972743e-06;2;False
0000000000;923;0;2.5800000003073364e-06;2;False
0000000000;1733;0;2.5860026653390378e-06;2;False
0000000000;4890;0;3.1000017770566046e-06;4;False
0000000000;7577;0;3.3709984563756734e-06;5;False
0000000000;4339;0;2.982997102662921e-06;4;False
0000000000;1505;0;2.5700028345454484e-06;2;False
0000000000;3538;0;3.154000296490267e-06;4;False
0000000000;2608;0;2.8510003176052123e-06;3;False
0000000000;4371;0;2.9620023269671947e-06;4;False
0000000000;4398;0;3.302997356513515e-06;5;False
0000000000;3913;0;2.9330003599170595e-06;3;False
0000000000;11659;0;3.82100188289769e-06;7;False
0000000000;462;0;2.5000008463393897e-06;2;False
0000000000;870;0;2.778997441055253e-06;2;False
0000000000;2034;0;1.555199924041517e-05;2;False
0000000000;5043;0;2.9939983505755663e-06;4;False
0000000000;4183;0;3.1960007618181407e-06;5;False
0000000000;5002;0;3.4609984140843153e-06;4;False
0000000000;3692;0;3.2079988159239292e-06;3;False
0000000000;1000;0;2.592001692391932e-06;2;False
0000000000;11848;0;3.6579986044671386e-06;7;False
0000000000;3440;0;3.2819989428389817e-06;4;False
0000000000;5261;0;3.3530013752169907e-06;4;False
0000000000;4422;0;2.8100002964492887e-06;3;False
0000000000;4985;0;3.0150004022289068e-06;4;False
0000000000;2662;0;2.9080001695547253e-06;3;False
0000000000;1498;0;2.586999471532181e-06;2;False
0000000000;3197;0;3.1000017770566046e-06;4;False
0000000000;2197;0;2.9199982236605138e-06;3;False
0000000000;616;0;2.6289999368600547e-06;2;False
0000000000;4620;0;3.1960007618181407e-06;5;False
0000000000;1075;0;2.5800000003073364e-06;2;False
0000000000;3845;0;2.9000002541579306e-06;3;False
0000000000;6657;0;2.9470029403455555e-06;4;False
0000000000;2048;0;2.8559989004861563e-06;3;False
0000000000;1780;0;2.535001840442419e-06;2;False
0000000000;4768;0;3.178000042680651e-06;4;False
0000000000;5048;0;3.321998519822955e-06;5;False
0000000000;5058;0;3.1080016924533993e-06;4;False
0000000000;4357;0;2.9959992389194667e-06;4;False
0000000000;6182;0;4.002999048680067e-06;7;False
0000000000;3375;0;1.576500289957039e-05;3;False
0000000000;4277;0;5.53499921807088e-06;3;False
0000000000;1657;0;2.854998456314206e-06;2;False
0000000000;8245;0;3.454999387031421e-06;5;False
0000000000;1211;0;2.7619971660897136e-06;2;False
0000000000;1617;0;1.7802001821110025e-05;2;False
0000000000;2782;0;2.934997610282153e-06;3;False
0000000000;2397;0;2.7759997465182096e-06;2;False
0000000000;1149;0;2.5810004444792867e-06;2;False
0000000000;4194;0;2.854998456314206e-06;3;False
0000000000;4176;0;2.9049988370388746e-06;3;False
0000000000;1423;0;2.5289991754107177e-06;2;False
0000000000;3913;0;2.7980022423435003e-06;3;False
0000000000;3074;0;2.734999725362286e-06;3;False
0000000000;2663;0;3.1769995985087007e-06;3;False
0000000000;3991;0;3.2200005080085248e-06;4;False
0000000000;243425;0;2.5469998945482075e-06;2;True
0000000000;3981;0;3.0269984563346952e-06;4;False
0000000000;2185;0;2.869001036742702e-06;2;False
0000000000;5433;0;2.9559996619354934e-06;4;False
0000000000;7118;0;3.7130012060515583e-06;7;False
0000000000;2071;0;2.6149973564315587e-06;2;False
0000000000;2343;0;2.73999830824323e-06;2;False
0000000000;4376;0;3.140001354040578e-06;4;False
0000000000;6358;0;3.0670016712974757e-06;4;False
0000000000;3026;0;2.929999027401209e-06;3;False
0000000000;1990;0;2.6950001483783126e-06;2;False
0000000000;291;0;2.50100129051134e-06;2;False
0000000000;4762;0;3.021999873453751e-06;4;False
0000000000;2432;0;3.1179988582152873e-06;4;False
0000000000;3948;0;3.158998879371211e-06;4;False
0000000000;1159;0;2.540997229516506e-06;2;False
0000000000;3702;0;2.7940004656556994e-06;3;False
0000000000;2197;0;2.7709975256584585e-06;2;False
0000000000;3638;0;2.9030015866737813e-06;3;False
0000000000;6744;0;3.020002623088658e-06;4;False
0000000000;5356;0;3.116001607850194e-06;4;False
0000000000;3957;0;3.159999323543161e-06;4;False
0000000000;9699;0;3.441000444581732e-06;6;False
0000000000;1881;0;3.045002813450992e-06;2;False
0000000000;2299;0;2.749999111983925e-06;3;False
0000000000;1924;0;2.6849993446376175e-06;2;False
0000000000;3987;0;3.05499997921288e-06;4;False
0000000000;6638;0;3.0269984563346952e-06;4;False
0000000000;1743;0;3.111999831162393e-06;2;False
0000000000;6483;0;3.2840034691616893e-06;5;False
0000000000;3971;0;3.363998985150829e-06;5;False
0000000000;2421;0;2.5339977582916617e-06;2;False
0000000000;7540;0;3.6450001061894e-06;5;False
0000000000;1924;0;2.6320012693759054e-06;2;False
0000000000;1153;0;2.5520021154079586e-06;2;False
0000000000;3976;0;2.7620008040685207e-06;3;False
0000000000;1543;0;2.7800015232060105e-06;3;False
0000000000;3666;0;3.058001311728731e-06;4;False
0000000000;3648;0;2.731001586653292e-06;3;False
0000000000;2135;0;2.5800000003073364e-06;2;False
0000000000;4835;0;3.3420001273043454e-06;4;False
0000000000;2033;0;9.434003004571423e-06;2;False
0000000000;6854;0;2.4169999960577115e-05;6;False
0000000000;7183;0;3.4240001696161926e-06;5;False
0000000000;4780;0;3.5419980122242123e-06;4;False
0000000000;3781;0;2.9189977794885635e-06;3;False
0000000000;3715;0;2.8550020942930132e-06;3;False
0000000000;4000;0;2.8329995984677225e-06;3;False
0000000000;859;0;3.5769990063272417e-06;2;False
0000000000;2675;0;2.9000002541579306e-06;3;False
0000000000;4634;0;3.454999387031421e-06;4;False
0000000000;5357;0;3.11100302496925e-06;4;False
0000000000;3737;0;2.935998054454103e-06;3;False
0000000000;5044;0;3.293000190751627e-06;5;False
0000000000;858;0;2.6050001906696707e-06;2;False
0000000000;6500;0;3.2520001695957035e-06;5;False
0000000000;707;0;2.6230009098071605e-06;2;False
0000000000;3607;0;3.0949995561968535e-06;4;False
0000000000;8326;0;3.4389995562378317e-06;6;False
0000000000;3869;0;2.902001142501831e-06;3;False
0000000000;917;0;2.5619992811698467e-06;2;False
0000000000;3320;0;2.836000930983573e-06;3;False
0000000000;1403;0;2.5859990273602307e-06;2;False
0000000000;5128;0;3.125001967418939e-06;4;False
0000000000;1472;0;2.5550034479238093e-06;2;False
0000000000;3698;0;2.7809983293991536e-06;3;False
0000000000;7476;0;3.5340017348062247e-06;6;False
0000000000;4993;0;3.2009993446990848e-06;4;False
0000000000;2463;0;2.553002559579909e-06;2;False
0000000000;3814;0;2.7560017770156264e-06;3;False
0000000000;1687;0;2.6369998522568494e-06;2;False
0000000000;2455;0;2.4750006559770554e-06;2;False
0000000000;2282;0;2.544999006204307e-06;2;False
0000000000;1800;0;2.472999767633155e-06;2;False
0000000000;4774;0;2.5999979698099196e-06;2;True
0000000000;1717;0;2.5839981390163302e-06;2;False
0000000000;7217;0;3.3270007406827062e-06;5;False
0000000000;3991;0;2.8389986255206168e-06;3;False
0000000000;2094;0;2.7479982236400247e-06;3;False
0000000000;1374;0;2.4939981813076884e-06;2;False
0000000000;2626;0;2.906999725382775e-06;3;False
0000000000;917;0;2.61999957729131e-06;2;False
