conf;price;weight;time;complexity;optimal
0100;1129;0;9.812996722757816e-06;4;False
1100;2528;0;3.697998181451112e-06;4;False
0100;1641;0;2.9240036383271217e-06;4;False
0110;4422;0;2.9410002753138542e-06;4;False
1100;1538;0;2.7510031941346824e-06;4;False
1000;2453;0;2.5129993446171284e-06;4;False
0101;3999;0;2.8620052034966648e-06;4;False
1110;4919;0;3.2280004234053195e-06;4;True
1000;2098;0;2.478001988492906e-06;4;False
0001;1382;0;2.50100129051134e-06;4;False
0111;3611;0;2.8629947337321937e-06;4;False
1101;3102;0;2.9540024115704e-06;4;False
0101;2551;0;2.6429988793097436e-06;4;False
1100;3076;0;2.6389971026219428e-06;4;False
0001;1649;0;2.3800021153874695e-06;4;False
0011;2353;0;2.582004526630044e-06;4;False
0100;2277;0;2.310996933374554e-06;4;False
1001;2689;0;2.6130001060664654e-06;4;False
0100;2271;0;2.411004970781505e-06;4;False
1010;1209;0;2.7529968065209687e-06;4;False
1100;3414;0;2.626002242323011e-06;4;False
1010;2310;0;2.68299481831491e-06;4;False
1000;2024;0;2.3949978640303016e-06;4;False
1110;4966;0;2.9059956432320178e-06;4;False
1100;1792;0;2.6510024326853454e-06;4;False
0101;4600;0;2.65800190391019e-06;4;False
0110;3966;0;2.6080015231855214e-06;4;False
1001;2717;0;2.75899947155267e-06;4;False
0011;4212;0;2.692002453841269e-06;4;False
1000;523;0;2.4479959392920136e-06;4;False
1101;3260;0;3.011999069713056e-06;4;False
0110;2137;0;2.6379930204711854e-06;4;False
0010;2090;0;2.40200461121276e-06;4;False
1110;4009;0;2.8890062822028995e-06;4;False
1001;2537;0;2.582004526630044e-06;4;False
1100;4371;0;2.6460038498044014e-06;4;False
1001;3162;0;2.6190027710981667e-06;4;False
0111;2904;0;2.9410002753138542e-06;4;False
1110;5098;0;2.925000444520265e-06;4;False
1101;3681;0;2.998000127263367e-06;4;False
0010;1548;0;2.4500041035935283e-06;4;False
0100;1872;0;2.4039982235990465e-06;4;False
0101;2533;0;2.616005076561123e-06;4;False
0001;2283;0;2.453001798130572e-06;4;False
0100;927;0;2.5009940145537257e-06;4;False
0001;1160;0;2.4360051611438394e-06;4;False
1001;1910;0;2.9799994081258774e-06;4;False
1101;2751;0;3.0099981813691556e-06;4;False
1100;3901;0;2.8389986255206168e-06;4;False
0010;1487;0;2.458000381011516e-06;4;False
0111;4088;0;2.9180009732954204e-06;4;False
0001;1936;0;2.4370019673369825e-06;4;False
0111;5818;0;2.882996341213584e-06;4;False
0001;1289;0;2.3989996407181025e-06;4;False
0100;2173;0;2.520995622035116e-06;4;False
0110;3248;0;2.815999323502183e-06;4;False
1010;3497;0;2.540000423323363e-06;4;False
0010;1867;0;2.2940002963878214e-06;4;False
0010;2413;0;2.325999957975e-06;4;False
0101;3499;0;2.4889959604479373e-06;4;False
1110;5403;0;2.74099875241518e-06;4;False
1010;3213;0;2.592998498585075e-06;4;False
0001;2445;0;2.287000825162977e-06;4;False
1010;4162;0;2.5510016712360084e-06;4;False
1011;5875;0;2.6269990485161543e-06;4;False
1000;2120;0;2.357999619562179e-06;4;False
0101;3619;0;2.610002411529422e-06;4;False
0101;3980;0;2.4949986254796386e-06;4;False
0010;2364;0;2.24300310947001e-06;4;False
0101;3248;0;2.5269982870668173e-06;4;False
1011;5691;0;2.872002369258553e-06;4;False
0101;926;0;2.6529960450716317e-06;4;False
0110;3184;0;2.530003257561475e-06;4;False
1101;4346;0;2.8459980967454612e-06;4;False
0011;1822;0;2.524997398722917e-06;4;False
1110;2302;0;2.7810019673779607e-06;4;False
0010;1390;0;2.3600005079060793e-06;4;False
0011;4195;0;2.5909976102411747e-06;4;False
0010;2446;0;2.344997483305633e-06;4;False
1011;3714;0;2.8889990062452853e-06;4;False
0010;2197;0;2.345994289498776e-06;4;False
1100;475;0;2.549997589085251e-06;4;False
1100;3621;0;2.5080007617361844e-06;4;False
1100;1777;0;2.4719993234612048e-06;4;False
0100;2444;0;2.401997335255146e-06;4;False
1000;1118;0;2.426000719424337e-06;4;False
0110;4042;0;2.4790060706436634e-06;4;False
1100;1609;0;2.5889967218972743e-06;4;False
0100;1314;0;2.2509993868879974e-06;4;False
1010;2148;0;2.5240005925297737e-06;4;False
0010;2489;0;2.235996362287551e-06;4;False
0010;2439;0;2.2450039978139102e-06;4;False
1010;4005;0;2.543005393818021e-06;4;False
0110;2094;0;2.5659974198788404e-06;4;False
1011;4391;0;2.9669972718693316e-06;4;False
1100;3084;0;2.592998498585075e-06;4;False
0110;3419;0;2.592001692391932e-06;4;False
0001;1181;0;2.4519977159798145e-06;4;False
1001;1991;0;2.6039997464977205e-06;4;False
1001;2965;0;2.6230045477859676e-06;4;False
0100;2493;0;2.2859967430122197e-06;4;False
1000;2209;0;2.339998900424689e-06;4;False
0100;1992;0;2.2819949663244188e-06;4;False
1101;2582;0;2.8890062822028995e-06;4;False
0001;924;0;2.287000825162977e-06;4;False
0101;3052;0;2.4990004021674395e-06;4;False
1000;1537;0;2.3230022634379566e-06;4;False
1101;3013;0;2.873995981644839e-06;4;False
0100;1742;0;2.592001692391932e-06;4;False
0010;1664;0;2.401000529062003e-06;4;False
0010;2403;0;2.3090033209882677e-06;4;False
