conf;price;weight;time;complexity;valid
00000000000000000000;5078;0;2.330799907213077e-05;23;True
00000000000000000000;3690;0;2.0778999896720052e-05;24;True
00000000000000000000;6280;0;1.1306001397315413e-05;25;False
00000000000000000000;3212;0;9.969000529963523e-06;22;True
00000000000000000000;9198;0;1.0570998711045831e-05;26;False
00000000000000000000;1956;0;9.348001185571775e-06;22;True
00000000000000000000;6512;0;1.1775999155361205e-05;27;False
00000000000000000000;3070;0;9.010000212583691e-06;22;True
00000000000000000000;1987;0;9.785999282030389e-06;22;True
00000000000000000000;7245;0;1.0386000212747604e-05;23;True
00000000000000000000;3661;0;9.038998541655019e-06;22;True
00000000000000000000;3615;0;9.667000995250419e-06;23;True
00000000000000000000;2355;0;9.432002116227522e-06;22;True
00000000000000000000;2580;0;9.535997378407046e-06;22;True
00000000000000000000;7348;0;1.0388997907284647e-05;26;False
00000000000000000000;5076;0;9.692001185612753e-06;23;True
00000000000000000000;6409;0;9.745999705046415e-06;23;True
00000000000000000000;6454;0;1.180199978989549e-05;25;False
00000000000000000000;4467;0;1.1233998520765454e-05;23;True
00000000000000000000;2839;0;1.0158000804949552e-05;23;True
00000000000000000000;4036;0;1.2034997780574486e-05;23;False
00000000000000000000;2082;0;1.0471998393768445e-05;22;True
00000000000000000000;6872;0;2.040999970631674e-05;22;True
00000000000000000000;7688;0;1.1541000276338309e-05;25;False
00000000000000000000;4581;0;1.1399999493733048e-05;24;True
00000000000000000000;4765;0;1.0240997653454542e-05;23;True
00000000000000000000;5740;0;1.020600029733032e-05;24;True
00000000000000000000;5712;0;1.0881001799134538e-05;25;False
00000000000000000000;6897;0;1.0013001883635297e-05;24;True
00000000000000000000;5189;0;1.0494000889593735e-05;24;True
00000000000000000000;5670;0;1.3367000065045431e-05;22;True
00000000000000000000;4856;0;9.678999049356207e-06;23;True
00000000000000000000;3627;0;1.0409999958937988e-05;23;True
00000000000000000000;3815;0;9.815001249080524e-06;22;True
00000000000000000000;7139;0;1.0569998266873881e-05;23;True
00000000000000000000;6463;0;1.0634001228027046e-05;25;False
00000000000000000000;5435;0;1.0045001545222476e-05;23;True
00000000000000000000;4383;0;9.236999176209792e-06;23;True
00000000000000000000;9674;0;1.0277999535901472e-05;25;True
00000000000000000000;6528;0;1.0507999832043424e-05;24;True
00000000000000000000;7104;0;9.852999937720597e-06;24;True
00000000000000000000;2427;0;0.000955000999965705;22;True
00000000000000000000;1741;0;1.27240018628072e-05;22;True
00000000000000000000;4634;0;1.0322000889573246e-05;23;True
00000000000000000000;4549;0;1.3595999917015433e-05;24;True
00000000000000000000;6629;0;1.0320000001229346e-05;25;True
00000000000000000000;7803;0;9.815998055273667e-06;25;False
00000000000000000000;2296;0;9.624000085750595e-06;24;True
00000000000000000000;2632;0;8.891001925803721e-06;22;True
00000000000000000000;4900;0;1.5772999176988378e-05;22;True
00000000000000000000;6879;0;9.491999662714079e-06;24;True
00000000000000000000;5187;0;9.414001397090033e-06;23;True
00000000000000000000;3284;0;1.3220000255387276e-05;23;True
00000000000000000000;8526;0;1.0044001101050526e-05;25;False
00000000000000000000;4883;0;8.793002052698284e-06;22;True
00000000000000000000;20503;0;8.827999408822507e-06;22;True
00000000000000000000;5466;0;9.269999281968921e-06;24;True
00000000000000000000;7122;0;1.0839998139999807e-05;26;False
00000000000000000000;5199;0;9.407998732058331e-06;24;True
00000000000000000000;5821;0;9.45699866861105e-06;24;False
00000000000000000000;4134;0;8.745002560317516e-06;22;True
00000000000000000000;4226;0;8.795999747235328e-06;22;True
00000000000000000000;9208;0;1.0458003089297563e-05;26;False
00000000000000000000;1745;0;9.145001968136057e-06;22;True
00000000000000000000;1762;0;9.087998478207737e-06;22;True
00000000000000000000;7303;0;1.0710999049479142e-05;25;True
00000000000000000000;11172;0;9.496998245595023e-06;23;True
00000000000000000000;1332;0;9.035000402946025e-06;22;True
00000000000000000000;2097;0;8.723000064492226e-06;22;True
00000000000000000000;9106;0;1.0128998837899417e-05;26;False
00000000000000000000;4853;0;8.857001375872642e-06;22;True
00000000000000000000;3155;0;9.514998964732513e-06;24;True
00000000000000000000;4480;0;9.212999430019408e-06;24;False
00000000000000000000;4995;0;9.606999810785055e-06;24;True
00000000000000000000;3213;0;1.1105999874416739e-05;23;True
00000000000000000000;4011;0;8.90299997990951e-06;22;True
00000000000000000000;2462;0;8.606002666056156e-06;22;True
