conf;price;weight;time;complexity;optimal
0001;1207;0;1.1495998478494585e-05;8;True
0001;3037;0;6.485999620053917e-06;8;True
1000;2256;0;4.965004336554557e-06;8;True
1000;8360;0;4.976995114702731e-06;8;True
0001;3487;0;4.55599365523085e-06;8;True
0100;3088;0;4.330002411734313e-06;8;True
0010;6384;0;4.654000804293901e-06;8;True
1110;4919;0;5.155001417733729e-06;8;True
0100;6540;0;4.344001354184002e-06;8;True
1000;1891;0;4.289002390578389e-06;8;True
1000;11186;0;4.913999873679131e-06;8;True
0010;3927;0;4.697998519986868e-06;8;True
1000;10802;0;4.597000952344388e-06;8;True
0001;4267;0;4.441993951331824e-06;8;True
0100;12485;0;4.3149993871338665e-06;8;True
1000;3076;0;4.4150001485832036e-06;8;True
1000;5474;0;4.278997948858887e-06;8;True
0010;4834;0;4.391004040371627e-06;8;True
1000;7649;0;4.261004505679011e-06;8;True
0100;1630;0;4.538000212050974e-06;8;True
0010;6232;0;4.374996933620423e-06;8;True
0100;3855;0;4.426998202688992e-06;8;True
0001;10120;0;4.262998118065298e-06;8;True
0001;5446;0;4.647998139262199e-06;8;True
0010;3611;0;4.378001904115081e-06;8;True
0010;6193;0;4.5919950935058296e-06;8;True
0001;9277;0;4.446999810170382e-06;8;True
0010;177150;0;4.455003363545984e-06;8;True
1000;4404;0;4.715999239124358e-06;8;True
0010;1681;0;4.294000973459333e-06;8;True
0010;4126;0;5.098001565784216e-06;8;True
0001;3541;0;4.613000783137977e-06;8;True
0001;3493;0;4.355002602096647e-06;8;True
0001;7223;0;4.766996426042169e-06;8;True
0100;3508;0;4.424997314345092e-06;8;True
0010;6943;0;4.633002390619367e-06;8;True
0100;4096;0;4.4859989429824054e-06;8;True
1000;6970;0;4.556997737381607e-06;8;True
0001;6737;0;4.715999239124358e-06;8;True
0010;4362;0;4.870002157986164e-06;8;True
0001;8816;0;4.31599619332701e-06;8;True
0001;2439;0;4.322995664551854e-06;8;True
1000;8430;0;4.53300162917003e-06;8;True
0100;3770;0;4.274996172171086e-06;8;True
1000;1354;0;4.2480023694224656e-06;8;True
0100;4864;0;4.232002538628876e-06;8;True
0010;2188;0;4.6720015234313905e-06;8;True
0010;3538;0;4.774003173224628e-06;8;True
0010;4286;0;4.537003405857831e-06;8;True
0100;1870;0;4.292996891308576e-06;8;True
1000;7178;0;4.961999366059899e-06;8;True
0100;2710;0;4.313995304983109e-06;8;True
1000;6154;0;4.80699964100495e-06;8;True
0100;17186;0;4.175002686679363e-06;8;True
0010;3802;0;4.283996531739831e-06;8;True
1000;4266;0;4.442998033482581e-06;8;True
0100;4475;0;4.675996024161577e-06;8;True
1000;2464;0;4.262998118065298e-06;8;True
0001;5917;0;4.175999492872506e-06;8;True
0010;3668;0;4.478999471757561e-06;8;True
0001;7284;0;4.59399598184973e-06;8;True
0001;7144;0;4.440997145138681e-06;8;True
0010;4480;0;4.155001079197973e-06;8;True
0001;5671;0;4.673995135817677e-06;8;True
0100;10052;0;4.524998075794429e-06;8;True
0100;7685;0;4.247995093464851e-06;8;True
0010;5047;0;4.640001861844212e-06;8;True
1000;11043;0;4.412999260239303e-06;8;True
0001;3467;0;4.241002898197621e-06;8;True
1000;8979;0;4.503999662119895e-06;8;True
0100;6068;0;4.75299748359248e-06;8;True
0010;1731;0;4.5819979277439415e-06;8;True
1000;4383;0;4.837005690205842e-06;8;True
0010;4830;0;5.4199990699999034e-06;8;True
1000;2352;0;4.566005372907966e-06;8;True
0001;3357;0;4.672998329624534e-06;8;True
0100;2457;0;4.408000677358359e-06;8;True
0100;4289;0;4.588997398968786e-06;8;True
0100;3424;0;4.352994437795132e-06;8;True
0100;4445;0;5.04200579598546e-06;8;True
1000;3504;0;4.301000444684178e-06;8;True
0010;1796;0;4.563000402413309e-06;8;True
0001;3708;0;4.547000571619719e-06;8;True
0010;1935;0;4.622997948899865e-06;8;True
0001;2877;0;4.239998816046864e-06;8;True
0001;26832;0;4.2339961510151625e-06;8;True
0001;4295;0;4.599001840688288e-06;8;True
0010;2162;0;4.5620035962201655e-06;8;True
0010;5101;0;4.17200499214232e-06;8;True
0100;3857;0;4.451001586858183e-06;8;True
0100;2995;0;4.282002919353545e-06;8;True
0100;3381;0;4.237997927702963e-06;8;True
0100;7038;0;4.428002284839749e-06;8;True
0001;2117;0;4.39400173490867e-06;8;True
0100;4727;0;4.763001925311983e-06;8;True
0001;7881;0;4.517001798376441e-06;8;True
0001;3681;0;4.3670006562024355e-06;8;True
0010;1279;0;4.449000698514283e-06;8;True
0100;2881;0;2.1986001229379326e-05;8;True
0010;3591;0;4.579997039400041e-06;8;True
0010;6925;0;4.358000296633691e-06;8;True
0001;4170;0;1.9368002540431917e-05;8;True
0001;3213;0;4.278001142665744e-06;8;True
0010;2679;0;4.796995199285448e-06;8;True
0010;1018;0;4.540997906588018e-06;8;True
1000;4617;0;4.565001290757209e-06;8;True
0001;3107;0;4.214001819491386e-06;8;True
0010;7740;0;4.742003511637449e-06;8;True
0001;1946;0;4.239002009853721e-06;8;True
0001;1817;0;4.269997589290142e-06;8;True
0001;7281;0;4.21699951402843e-06;8;True
0001;2835;0;4.7819994506426156e-06;8;True
0010;82810;0;4.444002115633339e-06;8;True
0010;5865;0;4.77099820272997e-06;8;True
1000;3014;0;4.313995304983109e-06;8;True
0001;3861;0;4.56900306744501e-06;8;True
0100;5893;0;4.251000063959509e-06;8;True
0100;2798;0;4.2339961510151625e-06;8;True
0001;10819;0;4.624998837243766e-06;8;True
0100;7190;0;4.823996277991682e-06;8;True
0001;5886;0;4.899993655271828e-06;8;True
1000;6441;0;4.237997927702963e-06;8;True
0100;2269;0;4.129004082642496e-06;8;True
0100;10966;0;4.301000444684178e-06;8;True
0100;1770;0;4.2950050556100905e-06;8;True
0100;24500;0;4.308996722102165e-06;8;True
1000;4224;0;4.604000423569232e-06;8;True
1000;4679;0;4.4570042518898845e-06;8;True
0100;5359;0;4.574001650325954e-06;8;True
0100;4055;0;4.380999598652124e-06;8;True
1000;2501;0;4.8670044634491205e-06;8;True
0001;4166;0;4.615998477675021e-06;8;True
0001;2995;0;4.789995728060603e-06;8;True
0001;6424;0;4.761001036968082e-06;8;True
0001;1486;0;4.346999048721045e-06;8;True
1000;3904;0;4.4919943320564926e-06;8;True
1000;3658;0;4.711997462436557e-06;8;True
1000;6366;0;4.925001121591777e-06;8;True
0001;2064;0;4.841000190936029e-06;8;True
1000;5270;0;4.51300002168864e-06;8;True
0001;3481;0;4.4100015657022595e-06;8;True
0100;3044;0;4.663001163862646e-06;8;True
1000;4422;0;4.476001777220517e-06;8;True
0010;2112;0;4.368004738353193e-06;8;True
1000;3915;0;4.61199670098722e-06;8;True
0100;2539;0;4.285997420083731e-06;8;True
1000;4361;0;4.250003257766366e-06;8;True
0100;5040;0;4.397996235638857e-06;8;True
0100;1273;0;4.568995791487396e-06;8;True
0010;1809;0;4.266003088559955e-06;8;True
1000;4311;0;4.6290006139315665e-06;8;True
0100;1784;0;4.656998498830944e-06;8;True
